label,x,y,z
2,-61.976,-3.6119,31.292
4,15.193,-48.439,13.105
7,22.758,52.275,-4.2021
2,-57.335,1.7489,39.459
8,32.457,25.524,-25.322
3,2.9792,1.7506,33.574
10,-11.879,-10.039,-34.337
3,17.157,6.8947,23.251
8,1.5816,-17.799,-44.663
2,-64.032,-6.909,25.02
3,15.169,1.7531,19.224
1,32.226,28.629,38.664
6,-11.148,-38.764,11.176
7,-1.5637,45.821,15.728
6,12.128,42.764,21.164
5,7.2254,-10.841,-30.228
7,5.4436,58.036,0.11247
7,11.815,47.753,0.1552
7,11.258,55.524,-3.5514
7,4.9601,5.3808,-33.648
10,14.543,-8.3508,-33.835
2,-46.067,6.8008,39.018
8,-25.789,-17.834,-42.492
3,1.402,2.9421,32.73
2,-58.854,-2.7313,27.98
7,-0.28908,39.988,20.792
5,-4.424,6.1747,-31.431
5,-1.7689,16.755,-34.452
7,11.385,55.183,6.4336
8,7.992,-10.619,-53.119
4,11.447,-46.277,18.615
7,6.385,51.802,-1.4886
5,4.8339,6.0554,-46.683
9,1.3431,-9.3036,12.68
9,2.9882,-1.3479,-28.57
3,23.616,5.4546,27.316
7,24.012,49.682,-3.5245
6,-26.201,-5.6329,2.8628
6,-22.934,-18.959,3.9978
9,3.9219,-6.8663,6.2864
3,22.857,13.094,-29.162
4,15.631,-42.642,11.343
2,-36.263,12.742,47.502
10,8.6195,-12.426,-35.25
7,-10.669,44.294,17.152
5,21.273,2.9168,-39.374
7,17.796,50.092,3.2622
6,-14.177,-27.882,15.087
7,17.482,53.979,6.0941
6,-19.206,-23.756,10.934
8,11.428,-9.6299,-51.967
6,-22.439,-7.1007,-1.1107
10,17.229,-7.4495,-28.386
3,29.254,-14.059,10.56
10,17.423,-11.615,-37.331
2,-49.331,5.101,40.45
1,44.85,26.635,37.215
4,16.263,-50.369,6.8857
5,-13.089,4.2211,-20.592
4,22.665,-45.378,4.5831
8,0.83842,-12.333,-51.992
7,6.567,55.356,1.9251
8,-0.90448,-24.705,-41.14
10,-21.541,-3.8771,-35.632
10,9.8627,-13.372,-36.878
2,-41.124,7.648,44.12
2,-38.328,10.321,43.026
7,13.087,56.091,0.95103
1,45.642,30.8,34.48
6,-14.662,-27.791,8.7738
6,-29.682,-11.072,-3.7896
9,18.841,-21.902,9.81
5,19.617,2.6489,-37.645
4,11.613,-33.762,20.328
7,12.508,53.328,-2.9408
8,-31.238,-7.266,-47.828
6,-23.371,-10.259,4.3014
4,14.534,-40.942,16.446
2,-59.347,-8.5009,22.418
6,-18.183,-27.498,4.7964
3,-51.64,-10.106,22.059
1,27.935,19.218,38.048
8,-0.17123,-18.985,-43.928
3,11.715,10.528,31.567
5,-3.325,17.816,-33.417
7,-1.2819,46.117,8.0506
4,20.526,-36.645,10.22
8,-3.8267,-11.789,-57.042
4,12.667,-36.667,-5.2048
7,11.366,52.47,6.559
8,8.7387,-11.974,-54.82
5,9.7353,10.494,-41.913
1,26.616,28.079,44.788
4,15.566,-43.029,9.5656
5,-11.439,7.4061,-16.808
3,2.0996,1.5731,32.319
2,-64.194,-15.394,28.73
9,-12.512,11.096,-15.443
5,2.9021,12.253,-37.703
9,12.722,-15.118,1.6283
4,33.268,-43.492,12.565
8,-27.449,-19.503,-39.285
4,21.329,-37.053,6.7369
9,4.2522,-14.08,-7.9698
8,4.116,-13.27,-51.686
4,21.827,-46.171,15.436
3,4.5505,43.91,21.611
8,-14.901,-10.304,-46.222
10,8.8351,-15.258,-38.911
4,15.504,-11.9,-33.078
7,-1.0766,49.086,9.8126
5,21.717,10.184,-39.566
9,7.086,-14.844,-3.35
8,-32.349,-9.4425,-32.131
2,-34.216,15.203,44.032
9,18.644,-13.297,5.0113
10,31.638,-55.057,5.924
6,-21.265,0.3367,-0.42319
9,6.9744,-21.975,8.6963
6,-27.468,-21.351,13.185
2,-35.395,11.825,40.147
2,-34.697,13.963,45.839
4,5.0775,-34.992,15.041
8,-13.17,-14.285,-49.507
9,-15.005,-3.4297,-36.314
8,-0.73428,-12.88,-53.606
10,-12.028,-6.2753,-29.062
6,26.52,-29.819,1.1029
1,26.935,19.983,39.98
2,-57.209,-10.572,28.489
2,-60.35,-8.429,30.864
7,3.4267,50.143,-2.1327
5,-1.6851,-12.115,-29.357
2,-63.592,-9.5877,31.117
5,-3.9067,8.794,-37.519
2,-52.883,1.5118,31.749
1,34.761,41.656,29.644
9,34.483,-50.222,6.7598
6,-24.564,-11.307,2.5488
10,14.123,-7.5845,-30.749
7,11.794,50.475,-0.28577
6,-21.404,-22.523,4.3664
9,-0.70817,-10.94,15.534
9,4.6565,-13.827,0.77623
10,13.082,-22.908,11.985
1,47.71,37.662,30.711
9,-0.63375,-18.913,15.178
7,0.48277,43.458,7.6492
10,25.085,8.5225,-33.588
6,-26.681,-6.8798,1.4577
5,0.022119,4.1945,-32.876
8,13.074,-13.762,-52.76
3,20.353,2.9648,25.258
5,-9.4895,10.17,-24.733
9,-7.4115,-12.277,12.414
6,21.779,-32.091,4.6744
9,7.6417,-21.409,10.092
8,-30.155,-16.948,-40.792
6,-11.988,-37.805,12.181
3,35.347,-0.21197,9.3299
7,2.4159,51.022,-2.5913
1,27.503,21.347,39.562
7,-8.5267,41.47,11.569
7,30.535,43.523,-0.83494
8,-9.4541,-12.311,-53.104
9,-4.6216,-8.2767,22.706
10,-5.4545,3.2476,-39.491
8,-47.973,10.75,43.936
6,-18.867,3.2944,-0.56248
10,-15.124,-8.9749,-33.949
6,23.607,-24.984,7.5284
1,43.436,42.658,26.329
2,-43.65,8.2324,38.917
9,13.462,-16.722,-1.4458
5,20.01,0.5753,-35.793
9,-0.26696,-13.647,8.7179
2,-56.396,4.8285,36.779
6,-3.9697,-36.82,17.222
7,13.734,43.965,20.176
1,44.238,21.455,35.462
7,-5.9715,43.677,15.529
4,34.755,-48.12,1.4318
1,-29.883,-8.6489,4.5708
5,22.341,-0.14106,-34.417
2,-31.417,11.479,44.074
2,-60.703,-10.084,23.593
2,-53.506,3.114,35.031
2,-41.761,10.812,45.738
2,-57.006,-13.784,22.994
1,26.955,17.362,38.367
7,-4.1022,39.583,14.086
3,15.296,-2.1595,33.638
6,-23.234,-7.9704,2.4488
7,-2.2003,49.468,3.9788
5,-10.227,9.7068,-21.5
6,-25.836,-19.858,11.604
5,-37.748,19.023,34.525
2,-54.601,-9.1495,26.688
5,25.725,0.57612,-44.955
9,9.6937,-17.539,8.7472
9,1.8271,-15.18,6.5509
3,16.053,-1.1254,22.143
2,-55.562,-3.495,32.05
6,21.254,-33.636,6.7441
7,17.423,53.213,0.025451
5,-11.638,12.006,-20.149
2,-51.792,-5.0299,27.147
10,-11.189,-13.817,-31.978
1,29.556,27.497,40.38
2,-60.144,4.5364,36.432
2,-58.416,-12.745,25.43
2,-65.158,-15.459,23.64
7,-9.1121,42.663,15.761
6,-5.5775,-36.293,17.025
1,33.693,30.549,38.771
10,-8.6647,-2.7239,-41.815
8,-34.151,-9.0635,-27.356
8,-3.0955,-23.688,-43.074
1,35.931,27.152,34.704
9,-34.489,-8.9569,-25.879
10,14.622,-0.58889,-38.802
10,-5.8862,4.1891,-40.932
9,-6.7575,-12.225,11.023
8,8.9398,-4.8935,-58.623
6,-30.089,-10.878,-0.56468
2,-62.92,-7.3189,34.238
4,20.503,-36.923,14.039
2,-58.454,-1.716,34.754
1,51.206,35.875,32.148
10,9.7998,-9.0487,-33.019
3,23.95,-8.4817,16.815
3,18.243,7.1227,24.345
4,9.3987,-30.911,23.204
5,-8.897,9.1708,-17.189
7,18.263,51.589,0.27392
1,39.924,39.695,36.236
9,2.5672,-12.689,6.78
6,25.328,-29.312,3.6759
9,6.0257,-20.312,13.54
4,8.4085,-36.685,18.71
5,25.652,19.284,-28.675
1,36.366,26.132,39.362
2,-50.053,-2.7454,28.421
7,-8.04,43.418,13.871
4,18.707,-39.426,18.666
9,-9.0017,-6.6458,18.78
2,-61.601,-12.277,26.156
10,-4.9561,-10.224,-41.301
6,-12.053,-31.257,15.113
8,-11.803,-10.264,-48.599
10,14.121,0.56351,-44.344
3,-7.699,9.1489,-14.346
4,7.3636,-42.883,20.947
5,-9.8908,-1.0144,-31.247
8,-17.034,-9.7681,-47.823
9,24.556,-49.188,-8.2011
2,-62.122,-12.191,18.536
2,-64.645,-10.377,24.102
4,30.098,-47.985,6.3031
1,42.538,41.804,26.867
6,-21.88,-2.1666,-0.26091
4,17.265,-39.844,17.858
2,-60.015,1.8812,38.167
2,-61.232,-16.243,22.857
9,-7.2466,-13.52,12.07
7,-7.3825,45.048,7.6245
5,-11.77,4.1645,-19.031
10,29.268,6.9234,-38.433
2,-38.548,8.7859,46.64
8,-10.563,-8.0548,-48.941
8,-29.701,-15.355,-46.93
6,-12.298,-30.056,9.3659
2,-28.752,9.865,44.356
6,-24.45,-7.7762,1.1256
3,15.334,7.5531,23.95
2,-62.114,-13.344,21.413
3,6.2481,5.8528,26.119
9,-9.1521,-5.4255,20.711
1,-32.779,-7.3214,6.674
3,16.758,9.7134,30.588
1,43.559,35.836,35.677
5,24.209,2.3157,-40.042
1,44.151,35.284,31.819
9,4.8716,-6.8836,5.2129
2,-64.919,-10.958,21.676
1,51.764,30.256,37.072
3,27.906,4.9316,9.2445
5,-0.28762,-13.935,-27.25
2,-32.22,13.58,45.701
10,21.819,-2.8374,-45.279
4,15.881,-47.235,7.3381
3,22.519,4.858,8.6257
1,32.682,34.102,36.429
3,14.089,8.015,26.317
1,26.913,53.503,4.7058
5,26.137,2.279,-45.287
8,-56.418,-16.776,26.806
7,4.1526,49.64,9.4067
1,29.79,28.989,40.783
1,50.316,32.877,34.385
8,1.0021,-25.914,-42.873
9,12.164,-21.505,11.488
6,25.225,-30.401,11.427
2,-59.643,-10.085,29.491
9,1.2782,-13.912,7.9665
4,11.075,-33.286,-3.5359
3,15.737,4.4446,30.479
8,10.572,-2.9633,-59.548
1,52.437,39.239,31.643
1,50.448,39.413,35.356
7,-7.1339,43.736,1.2368
6,-23.986,0.20979,-2.4682
6,-27.398,-1.761,1.3432
8,-26.001,-21.6,-39.224
8,-28.321,-9.3818,-43.013
8,-14.136,-5.5142,-28.163
3,25.942,-10.152,18.611
7,10.288,50.402,-0.98196
6,10.533,-3.1281,-31.476
4,10.474,-41.438,18.825
1,48.464,40.234,25.863
8,-14.705,-12.591,-45.618
4,17.155,-53.146,-1.2919
7,-11.208,40.274,20.665
8,-26.102,-9.2044,-44.542
2,-37.068,14.532,40.013
2,-65.065,-11.63,28.13
6,-6.8779,-34.247,17.509
5,25.008,-1.6736,-34.505
9,-24.058,-11.139,-1.5918
8,2.9714,-5.2001,-61.072
8,-33.276,-9.2495,-29.764
1,28.084,17.719,39.267
1,33.333,41.054,26.988
1,36.769,32.414,37.693
8,-49.51,11.908,44.854
10,5.4865,-6.2308,-32.638
7,30.714,42.555,-0.45415
2,-36.215,12.13,45.11
8,-12.721,-8.8468,-46.461
2,-55.083,-9.2091,23.782
2,-62.82,-3.0544,36.405
7,16.731,56.481,1.7293
4,10.94,-35.734,20.486
7,5.3034,49.818,0.83975
8,-0.42614,-20.686,-42.31
10,30.389,-1.5052,-40.019
8,20.101,2.3186,6.6926
3,-2.5947,-20.027,-43.152
8,-3.7471,-22.763,-43.633
10,9.6696,10.373,-45.412
9,-3.1657,-16.189,14.303
1,34.07,25.242,38.85
4,30.406,-53.851,4.4733
4,12.157,-35.421,-4.5136
7,-0.82764,48.015,13.67
6,-15.95,-27.095,8.7607
8,-30.345,-10.497,-46.097
10,8.5861,-11.183,-33.106
2,-50.646,-0.96242,34.13
1,52.015,36.207,29.541
8,-26.943,-10.136,-41.365
2,-58.162,-15.083,20.304
4,29.376,-39.071,-13.765
6,-18.844,-22.767,13.721
3,20.408,4.4275,24.413
7,8.5425,53.761,7.2431
5,-7.3323,7.1202,-42.938
2,-61.74,-9.1118,27
8,-30.804,-15.762,-42.255
2,-61.31,-10.937,17.109
3,11.031,9.1535,31.05
3,23.92,0.78127,9.9071
6,34.306,-48.671,4.6485
1,34.319,40.006,30.364
4,23.452,-45.207,14.696
2,-45.304,12.597,45.198
2,-61.977,-12.467,28.626
8,2.3708,-6.4859,-60.251
3,37.325,-46.707,-3.3534
6,-11.013,-32.766,15.11
10,6.4163,-11.175,-33.194
5,-4.8737,19.97,-31.544
7,1.8447,47.42,-0.1309
8,12.629,-11.395,-56.582
5,8.7533,8.7167,-39.456
7,29.305,44.906,-0.62589
2,-40.804,13.926,44.122
10,-2.2921,-12.952,-28.084
2,-53.654,-3.7441,33.319
3,15.784,7.8169,27.488
8,-4.6145,-12.498,-55.93
5,25.276,-0.23441,-42.065
8,-18.835,-14.803,-50.288
4,31.217,-38.068,-4.4998
3,14.156,9.3611,29.948
1,19.491,-13.701,-26.917
7,-5.9229,48.819,14.283
5,25.987,22.16,-34.4
5,1.2073,-14.596,-26.119
7,-10.69,39.2,14.424
1,47.84,28.693,33.373
4,7.476,-41.887,22.084
8,-5.5518,-10.322,-43.331
7,10.214,58.382,3.1339
2,-64.91,-5.7939,37.215
2,-54.264,-4.3488,29.565
1,25.225,20.277,38.876
1,41.802,33.399,31.394
5,-1.2739,6.1436,-33.534
7,2.2966,55.474,0.31671
8,13.063,-10.127,-55.231
10,14.32,-6.5516,-34.426
2,-54.738,1.6144,39.143
7,-3.9393,42.504,18.751
2,-62.665,-0.63783,36.557
2,-50.17,0.82628,31.716
1,37.072,32.56,39.144
2,-64.609,-18.271,23.814
2,-33.69,11.731,47.302
2,-64.123,-6.614,31.53
4,-6.1464,-17.619,19.742
4,17.107,-38.967,19.189
3,29.439,6.5191,9.2944
3,18.565,-16.735,20.008
9,18.977,-19.881,7.2365
7,0.10129,55.548,0.50737
6,-11.908,-27.773,7.0482
2,-62.93,-14.14,24.118
2,-69.213,-10.711,32.957
1,45.319,34.034,36.153
10,-21.395,-5.2235,-36.371
8,3.1915,-8.633,-58.727
6,23.843,-26.872,11.183
4,6.114,-37.281,16.436
2,-10.13,-8.2294,-24.068
7,4.5076,56.823,-0.89397
10,-7.033,12.102,-42.995
2,-66.563,-19.327,25.569
3,21.579,-8.4038,8.6034
4,30.136,-49.14,6.1638
1,36.559,34.54,38.853
7,15.973,52.378,-1.7429
4,18.298,-45.107,5.8147
10,-18.04,-8.4211,-32.724
4,25.278,-45.779,14.62
7,6.5554,45.686,-3.5898
2,-59.215,2.2768,41.344
4,7.78,-45.495,12.435
2,-55.137,-1.8087,30.719
8,-23.947,-20.045,-41.608
9,-1.0601,-12.81,16.739
4,22.159,-43.682,13.61
7,-1.5478,45.475,9.8154
3,24.187,2.6503,6.1689
6,23.549,-31.133,1.4792
9,4.359,4.3709,-48.524
6,-18.836,-30.796,0.68772
4,5.469,-39.277,16.888
3,26.21,2.221,11.237
5,18.819,-13.966,-42.367
5,-3.1326,4.5075,-33.29
4,-0.71914,-23.078,-39.765
6,-11.005,-40.778,8.9456
8,-28.768,-13.978,-41.773
5,-8.5952,7.464,-25.766
5,-10.371,8.3938,-17.497
2,-30.708,15.407,45.199
1,33.735,41.32,22.297
3,15.635,-0.79474,20.78
4,-7.9046,4.0872,18.103
7,-60.606,-11.289,14.788
10,14.299,0.55317,-41.8
10,-6.3822,-0.87992,-38.232
5,16.826,3.7841,-36.186
3,12.716,9.2215,29.668
8,-30.718,-10.832,-36.405
8,9.721,-10.918,-60.297
8,12.611,-10.316,-59.662
8,8.7188,-6.9762,-61.396
2,-58.498,-12.8,21.4
7,-10.789,41.408,13.72
5,21.8,2.6301,-36.178
2,-37.851,19.208,41.771
1,34.332,25.438,41.066
9,18.737,-12.714,6.6082
2,-61.999,-10.29,29.88
2,-51.663,-5.7283,29.153
7,-3.6904,44.214,15.625
9,9.1748,-16.469,7.7821
6,24.615,-31.333,7.9998
7,2.8129,52.747,-0.19501
2,-60.213,4.5764,39.539
10,31.16,-0.67036,-39.981
6,25.257,-29.265,5.3487
7,-11.111,43.158,15.488
1,47.704,41.843,32.031
8,-26.2,-9.4833,-49.181
8,-9.6364,-12.701,-49.321
2,-44.812,8.6982,45.108
6,-17.48,-23.289,10.761
4,14.435,-45.615,2.7128
6,-16.908,-22.132,10.312
4,21.422,-36.541,14.739
4,26.353,-46.639,-11.05
2,-60.077,-16.41,25.269
3,17.916,0.098064,5.1487
1,51.666,36.94,28.321
10,-4.5273,0.86263,-37.202
7,12.022,55.398,-1.0689
10,-55.238,2.602,29.093
2,-51.783,0.67884,34.244
10,2.4833,5.3037,-46.238
8,1.7268,-18.914,-43.051
6,-29.428,-9.8113,-1.8316
5,7.9385,10.09,-39.848
3,20.121,6.5968,25.168
8,8.956,-6.5576,-57.678
3,18.315,11.468,34.5
1,34.151,34.277,38.734
8,-28.157,-7.2043,-46.219
7,-1.3691,39.439,10.28
8,3.4426,-9.8217,-60.156
7,22.201,51.775,-0.59698
5,3.6112,9.3621,-37.183
4,17.248,-10.561,-32.788
9,-58.27,5.1275,30.813
4,25.261,-49.436,7.6319
9,25.156,-46.415,-8.2742
8,-9.8391,-11.146,-51.328
9,3.9235,-32.651,13.963
5,-4.4884,19.19,-32.882
7,-11.362,47.983,15.775
10,6.9064,-8.0757,-32.832
5,-6.6394,7.065,-37.422
1,44.068,44.267,24.82
9,-1.6143,-17.857,14.894
7,-7.6391,39.024,13.165
4,29.807,-45.708,-6.1757
10,9.5156,-6.212,-33.925
3,18.562,5.7744,8.8153
7,-13.245,29.189,16.238
6,0.35796,35.999,9.0622
4,13.769,-37.472,-0.42617
2,-57.481,4.8845,38.892
1,49.134,38.489,34.994
5,12.569,-9.2198,-34.102
2,-55.969,-1.2355,38.403
8,-17.781,-12.305,-50.584
4,18.493,-47.239,5.8953
9,13.36,-15.064,-2.2064
8,-13.9,-8.3941,-43.2
6,-24.227,-20.254,6.4439
2,-38.776,13.013,46.033
10,26.956,13.622,-31.775
3,-10.342,11.067,-13.815
10,-21.373,-2.1156,-34.433
3,14.045,5.5223,20.252
4,17.853,-34.34,9.4737
1,48.897,29.302,34.472
7,6.8227,48.748,2.8923
2,-33.455,18.375,45.264
1,43.806,40.882,33.982
8,-25.813,-12.378,-40.864
4,9.1406,-41.705,21.36
7,-12.284,31.493,14.59
4,20.875,-45.442,4.4078
7,2.7727,51.08,10.208
1,34.89,27.216,37.382
9,1.398,-10.296,12.558
8,-22.672,-10.076,-46.907
8,-30.732,14.736,39.53
9,-7.9671,-9.2885,20.962
4,4.9278,-40.522,16.074
7,-6.132,44.319,2.8225
6,-21.582,0.096093,-1.5593
6,-20.439,-27.861,0.8477
3,29.883,5.6218,9.5844
3,34.4,-2.1511,11.069
5,-5.8905,-5.7531,-32.307
3,12.985,5.975,20.43
8,-15.506,-12.011,-47.782
10,17.818,-7.3136,-36.01
1,51.054,30.543,30.927
6,-22.894,-1.542,-0.70334
1,45.146,37.647,31.329
8,34.773,23.991,-24.539
10,-17.897,-4.5556,-33.983
1,36.028,26.376,33.003
10,-1.7104,5.2975,-43.783
1,-32.062,-7.7409,6.0881
7,4.6919,43.675,-4.9188
10,-10.977,-7.042,-28.043
6,-12.928,-27.87,15.335
9,35.828,-48.232,2.6179
9,-10.391,-10.752,13.681
7,12.179,52.013,8.5996
2,-38.924,15.891,46.716
3,25.004,3.8324,11.602
2,-64.996,-5.5286,35.236
1,47.521,40.673,25.338
2,-39.911,10.015,44.768
7,5.61,55.753,3.1038
10,30.957,12.518,-34.462
4,14.816,-35.657,-1.2931
4,1.9148,-37.033,19.977
10,17.847,13.231,-30.593
10,-2.8406,4.9752,-43.006
7,10.851,52.541,-3.1385
10,-3.7056,-0.45222,-42.486
8,-14.325,-12.072,-51.839
4,20.793,-33.975,2.0159
7,20.412,53.629,-1.0216
3,7.1831,6.5075,26.042
3,14.432,0.70825,31.177
7,7.8998,47.632,-1.6546
6,18.452,-31.105,4.4632
4,22.799,-35.151,15.624
6,-15.765,-34.585,6.7674
8,-27.786,-9.5846,-49.216
6,-12.629,-28.485,7.7372
6,22.534,-32.057,2.0639
6,-30.337,-11.823,-4.2817
5,-3.9066,-11.374,-29.818
1,48.634,32.171,34.704
8,6.8059,-17.652,-41.043
10,-31.178,-8.2677,-32.363
4,19.761,-33.504,3.8385
10,30.692,14.468,-33.001
4,14.888,-46.793,4.0222
9,27.611,-49.899,-10.335
5,-9.4112,7.5985,-31.828
4,30.855,-37.907,-2.8945
3,21.471,6.794,8.3231
2,-43.474,6.3967,38.815
3,28.581,-13.359,11.33
8,-29.802,-12.53,-41.628
8,6.7081,-16.639,-45.888
7,3.8459,49.609,1.5559
1,42.771,25.157,37.379
9,-10.483,-8.4196,15.332
10,18.567,-3.2583,-35.502
8,-4.5942,-9.5352,-49.538
1,43.29,33.735,32.568
4,14.37,-37.601,-9.6883
7,-9.7983,17.035,-18.969
8,-15.512,-10.765,-50.645
3,4.6876,4.0999,27.217
3,16.839,10.691,34.53
7,23.725,52.762,-0.45794
5,-10.207,15.009,-19.574
7,3.4464,43.225,-5.007
3,20.566,17.642,15.411
2,-48.285,2.0882,34.945
9,9.6461,-20.851,11.532
8,-28.709,-10.817,-44.24
10,33.264,21.368,-27.972
2,-36.805,14.684,42.603
2,-52.19,-1.2887,30.657
1,28.201,53.571,5.8615
5,25.536,22.001,-29.167
2,-58.664,-8.7247,27.116
9,-12.33,1.6238,-18.09
10,26.974,15.928,-29.932
1,36.772,28.005,38.383
6,32.39,-46.516,3.9324
8,-19.356,-15.674,-51.18
3,27.522,-12.544,12.692
2,-61.196,-7.8911,28.837
4,16.359,-49.288,11.183
2,-68.139,-8.1826,33.831
5,-12.545,8.9275,-23.227
9,8.766,-18.579,3.0078
7,-7.5645,43.902,17.042
2,-37.646,17.02,43.209
4,6.2846,-38.137,25.158
1,50.609,31.684,32.279
5,24.927,-2.9548,-35.083
5,26.691,4.1611,-50.37
10,32.788,22.205,-27.887
8,-20.674,-9.3404,-48.381
5,29.505,24.658,-27.845
9,1.2364,-19.804,15.602
2,-41.682,13.214,46.214
4,34.275,-47.849,0.27465
10,30.641,10.696,-35.639
10,24.196,-6.4621,-36.876
8,-32.03,-14.927,-44.359
7,-7.73,43.825,2.2268
4,9.5961,-36.253,20.508
10,29.255,14.452,-34.158
2,-42.659,10.764,40.643
8,-30.765,-14.531,-38.18
7,-26.184,-3.045,1.2147
9,3.2802,-10.631,4.7719
4,12.988,-48.123,13.268
8,14.047,-12.187,-54.563
9,7.2473,-14.752,0.10728
4,23.467,-38.065,12.385
6,-20.39,-31.876,2.9179
10,16.181,-1.7862,-37.054
6,34.021,-48.594,7.8896
4,18.911,-44.801,8.8903
7,1.9116,41.504,6.9854
4,22.162,-36.974,8.9781
8,-31.872,14.35,37.978
4,-11.531,-13.243,16.251
5,-9.3019,-2.8727,-31.179
7,9.8844,53.629,8.8392
10,31.264,24.665,-26.871
4,17.577,-48.639,5.52
9,27.278,-46.917,-7.4876
10,-9.7278,-4.0641,-41.395
10,-19.358,-4.1484,-34.406
1,36.918,24.605,38.692
4,19.572,-47.127,9.0358
7,27.924,46.505,-0.80547
3,15.334,-1.3804,18.965
